ID;Sample;Date;Fraction;Hour;Concentration_g_l;D10;D50;D90;Name;Series;Obscuration_bleue;Obscuration_laser;Residuals1;Residuals2;0.01;0.011361631;0.012908666;0.01466635;0.016663366;0.018932301;0.021510182;0.024439075;0.027766775;0.031547585;0.035843202;0.040723724;0.046268792;0.052568895;0.059726838;0.06785943;0.07709938;0.087597471;0.099525014;0.113076649;0.128473516;0.145966868;0.165842169;0.188423753;0.214080116;0.243229928;0.276348869;0.313977388;0.356729522;0.40530292;0.460490222;0.523191999;0.594431444;0.675371072;0.767331691;0.871813953;0.990522844;1.125395506;1.278632847;1.45273546;1.650544424;1.87528767;2.130632654;2.420746202;2.75036251;3.124860397;3.550351077;4.033777887;4.58302959;5.207069109;5.916079783;6.721631549;7.636869741;8.676729602;9.858180007;11.20050036;12.72559522;14.45835172;16.42704571;18.66380319;21.2051245;24.09248;27.37298677;31.10017752;35.33487411;40.14618012;45.61260848;51.82336267;58.87979241;66.8970475;76.0059569;86.35516364;98.11355046;111.4729957;126.6515044;143.8967659;163.4901957;185.7515276;211.0440316;239.7804412;272.4296895;309.5245607;351.6703846;399.5549145;453.9595504;515.7720903;586.0012172;665.7929599;756.4493935;859.4498883;976.4752498;1109.435147;1260.499277;1432.132766;1627.136404;1848.692342;2100.416023;2386.415181;2711.356871;3080.543628;3500
98;GC_Isere_IGE_Filtre_198_no5;11.05.2021;sediments;06:00;3.984;2.49;11.8;53.9;daniel.donze;MAL1201562;8.96;10.63;0.26;0.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.11;0.14;0.17;0.21;0.24;0.27;0.31;0.35;0.4;0.47;0.55;0.66;0.78;0.93;1.11;1.31;1.53;1.78;2.05;2.33;2.63;2.93;3.23;3.51;3.75;3.95;4.1;4.19;4.24;4.24;4.21;4.13;4.02;3.88;3.69;3.47;3.22;2.95;2.68;2.42;2.17;1.93;1.69;1.46;1.23;1.01;0.79;0.6;0.43;0.3;0.2;0.14;0.11;0.1;0.11;0.13;0.14;0.13;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;GC_Isere_IGE_Filtre_198_no5;11.05.2021;sediments;06:00;3.984;2.43;11.5;52.5;daniel.donze;MAL1201562;9.12;10.71;0.25;0.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09;0.12;0.15;0.18;0.21;0.24;0.28;0.32;0.36;0.42;0.49;0.57;0.68;0.81;0.96;1.14;1.35;1.58;1.84;2.11;2.39;2.69;2.99;3.28;3.55;3.79;3.98;4.12;4.2;4.23;4.22;4.17;4.09;3.98;3.83;3.65;3.44;3.19;2.93;2.66;2.39;2.14;1.89;1.65;1.41;1.18;0.96;0.75;0.55;0.39;0.26;0.17;0.11;0.09;0.1;0.12;0.14;0.15;0.14;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;Moyenne des GC_Isere_IGE_Filtre_198_no5;11.05.2021;sediments;06:00;3.984;2.5;11.8;53.6;daniel.donze;MAL1201562;8.94;10.57;0.26;0.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.11;0.14;0.17;0.2;0.24;0.27;0.3;0.35;0.4;0.47;0.55;0.65;0.78;0.92;1.1;1.3;1.52;1.77;2.04;2.32;2.62;2.92;3.22;3.5;3.74;3.95;4.1;4.2;4.25;4.25;4.22;4.15;4.05;3.9;3.72;3.49;3.24;2.97;2.69;2.43;2.17;1.93;1.69;1.46;1.22;1;0.78;0.59;0.42;0.28;0.18;0.12;0.09;0.09;0.11;0.13;0.15;0.14;0.11;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;GC_Isere_IGE_Filtre_198_no7;11.05.2021;sediments;08:00;3.834;2.48;11.4;51.1;daniel.donze;MAL1201562;10.19;12.1;0.23;0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.11;0.14;0.17;0.2;0.24;0.27;0.31;0.35;0.4;0.47;0.55;0.66;0.78;0.93;1.11;1.31;1.54;1.8;2.07;2.37;2.68;2.99;3.31;3.6;3.87;4.08;4.25;4.36;4.41;4.41;4.36;4.27;4.13;3.94;3.71;3.43;3.12;2.8;2.49;2.2;1.94;1.71;1.49;1.28;1.09;0.89;0.72;0.55;0.42;0.31;0.22;0.17;0.13;0.12;0.12;0.13;0.13;0.13;0.11;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;GC_Isere_IGE_Filtre_198_no7;11.05.2021;sediments;08:00;3.834;2.41;11;49;daniel.donze;MAL1201562;10.38;12.25;0.23;0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09;0.12;0.15;0.18;0.21;0.25;0.28;0.32;0.36;0.42;0.49;0.58;0.69;0.82;0.97;1.15;1.37;1.6;1.87;2.15;2.45;2.76;3.08;3.39;3.68;3.94;4.14;4.29;4.38;4.42;4.4;4.34;4.23;4.07;3.88;3.64;3.36;3.06;2.75;2.44;2.16;1.9;1.67;1.46;1.25;1.05;0.86;0.68;0.51;0.37;0.26;0.17;0.12;0.09;0.08;0.09;0.1;0.12;0.11;0.1;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;GC_Isere_IGE_Filtre_198_no7;11.05.2021;sediments;08:00;3.834;2.35;10.8;47.3;daniel.donze;MAL1201562;10.5;12.33;0.24;0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0.09;0.12;0.15;0.19;0.22;0.25;0.29;0.33;0.38;0.43;0.51;0.6;0.71;0.84;1;1.19;1.41;1.65;1.92;2.2;2.5;2.82;3.13;3.44;3.73;3.97;4.17;4.31;4.39;4.41;4.39;4.31;4.2;4.04;3.85;3.61;3.34;3.04;2.73;2.43;2.14;1.88;1.65;1.43;1.23;1.03;0.84;0.66;0.5;0.36;0.25;0.16;0.09;0;0;0;0.07;0.1;0.11;0.1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;Moyenne des GC_Isere_IGE_Filtre_198_no7;11.05.2021;sediments;08:00;3.834;2.42;11;49.1;daniel.donze;MAL1201562;10.36;12.23;0.23;0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.09;0.12;0.15;0.18;0.21;0.24;0.28;0.32;0.36;0.42;0.49;0.58;0.68;0.81;0.97;1.15;1.36;1.6;1.86;2.14;2.44;2.75;3.07;3.38;3.67;3.93;4.13;4.28;4.38;4.41;4.4;4.34;4.23;4.08;3.89;3.65;3.37;3.07;2.76;2.45;2.17;1.91;1.68;1.46;1.25;1.06;0.87;0.69;0.52;0.38;0.27;0.18;0.13;0.07;0.07;0.07;0.1;0.12;0.12;0.1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;GC_Isere_IGE_Filtre_198_no9;11.05.2021;sediments;10:00;3.626;2.79;13.4;66.2;daniel.donze;MAL1201562;5.25;6.35;0.4;0.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.09;0.12;0.15;0.18;0.2;0.23;0.26;0.3;0.34;0.4;0.47;0.56;0.66;0.79;0.94;1.12;1.33;1.56;1.81;2.08;2.37;2.67;2.97;3.26;3.52;3.75;3.92;4.04;4.12;4.15;4.13;4.08;3.99;3.86;3.7;3.51;3.29;3.06;2.84;2.62;2.42;2.23;2.02;1.8;1.56;1.32;1.08;0.86;0.68;0.54;0.44;0.37;0.33;0.29;0.24;0.19;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;GC_Isere_IGE_Filtre_198_no9;11.05.2021;sediments;10:00;3.626;2.67;12.8;66.3;daniel.donze;MAL1201562;5.41;6.51;0.42;0.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.1;0.13;0.15;0.18;0.21;0.24;0.27;0.31;0.36;0.42;0.5;0.59;0.71;0.84;1.01;1.19;1.41;1.65;1.91;2.19;2.48;2.78;3.08;3.36;3.61;3.81;3.95;4.03;4.07;4.06;4.02;3.94;3.84;3.71;3.55;3.37;3.17;2.96;2.76;2.57;2.38;2.19;1.99;1.76;1.52;1.27;1.03;0.81;0.64;0.51;0.42;0.37;0.34;0.32;0.3;0.26;0.19;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;GC_Isere_IGE_Filtre_198_no9;11.05.2021;sediments;10:00;3.626;2.58;12.4;62.4;daniel.donze;MAL1201562;5.51;6.6;0.26;0.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.1;0.13;0.16;0.19;0.22;0.25;0.29;0.33;0.38;0.44;0.52;0.62;0.74;0.88;1.05;1.25;1.47;1.72;1.99;2.27;2.57;2.87;3.17;3.44;3.68;3.86;3.99;4.06;4.08;4.06;4;3.92;3.8;3.67;3.51;3.33;3.13;2.93;2.74;2.56;2.39;2.22;2.03;1.82;1.58;1.32;1.06;0.81;0.6;0.42;0.29;0.2;0.15;0.13;0.13;0.13;0.12;0.09;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Moyenne des GC_Isere_IGE_Filtre_198_no9;11.05.2021;sediments;10:00;3.626;2.68;12.9;64.9;daniel.donze;MAL1201562;5.39;6.49;0.36;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.1;0.13;0.16;0.18;0.21;0.24;0.28;0.31;0.36;0.42;0.5;0.59;0.7;0.84;1;1.19;1.4;1.64;1.9;2.18;2.47;2.77;3.07;3.35;3.6;3.8;3.95;4.05;4.09;4.09;4.05;3.98;3.88;3.75;3.59;3.4;3.2;2.98;2.78;2.58;2.4;2.21;2.01;1.79;1.55;1.3;1.06;0.83;0.64;0.49;0.39;0.32;0.27;0.25;0.22;0.19;0.14;0.07;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;GC_Isere_IGE_Filtre_198_no11;11.05.2021;sediments;12:00;2.601;2.67;13.4;64.5;daniel.donze;MAL1201562;9.55;11.49;0.34;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.1;0.13;0.16;0.19;0.22;0.25;0.28;0.33;0.38;0.44;0.51;0.61;0.72;0.85;1;1.17;1.36;1.58;1.81;2.06;2.33;2.61;2.89;3.17;3.42;3.64;3.82;3.96;4.06;4.12;4.15;4.13;4.07;3.97;3.81;3.62;3.38;3.13;2.87;2.63;2.4;2.19;1.98;1.76;1.54;1.31;1.07;0.83;0.61;0.42;0.27;0.18;0.13;0.13;0.16;0.21;0.24;0.24;0.2;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
